nombre_original;nombre_normalizado
12 HUEVOS GRANDES -L;12 HUEVOS GRANDES-L
FRANKFURT VIEA QUES;FRANKFURT VIENA QUES
FRANKFURT VIEA PAVO;FRANKFURT VIENA PAVO
ACEITE OLIVA 0'4;ACEITE OLIVA 0.4
ACEITE OLIVA 0`4;ACEITE OLIVA 0.4
MEDALLON MER A;MEDALLONES MER
MEDALLÓN MERLUZA CAB;MEDALLONES MER
CHIPIRON ENHAR;CHIPIRON ENHARINADO
DENTIFRICO HERBAL;DENTÍFRICO HERBAL
OREGANO;ORÉGANO
COLORANTE ALIMETARI;COLORANTE ALIMENTARI
PAVO TACOS;PAVO A TACOS
SOPA MARAVILLA P-2;SOPA MARAVILLA
MEJILLON ESCABECHE P;MEJILLONES ESCABECHE
PIZZA MEDITTERRANEA;PIZZA MEDITERRANEA
PIMIENTA NEGRA MOLID;PIMIENTA NEGRA
PIMIENTA BLANCA MOLI;PIMIENTA BLANCA
S. HIERBAS PROVENZAL;HIERBAS PROVENZALES
SALSA TOMATE/ALBAHAC;SALSA TOMATE ALBAHACA
BORRADOR MÁGICO P-3;BORRADOR MAGICO
CÁPSULAS TODO EN 1;CAPSULAS LAVADO
CHAMPU FAMILY;CHAMPÚ FAMILY
CHAMPU COLOR INTENSE;CHAMPÚ COLOR INTENSE
